compound,positive,neutral,negative,Date,tweets_ago,tweet,news source
0.5719,0.27,0.73,0.0,Sat Jul 21 10:10:07 +0000 2018,87,🏃This 88-year-old runner has celebrated his 200th Parkrun in Manchester. https://t.co/9yG6L3bCye,BBC
0.0,0.0,1.0,0.0,Sat Jul 21 11:16:04 +0000 2018,86,"🏃🏃‍♀️ @GabbyLogan presents live coverage from the first day of the #AnniversaryGames at the London Stadium.

Athlet… https://t.co/KD8QAeSMnA",BBC
-0.8316,0.0,0.672,0.328,Sat Jul 21 12:03:05 +0000 2018,85,"Maths, science, history and... death? 🎒📚🤔

Death could be added to the school timetable in Australia. 👉… https://t.co/l6jEPAaK64",BBC
0.0,0.0,1.0,0.0,Sat Jul 21 13:03:08 +0000 2018,84,"Would you consider becoming a hedgehog foster parent? 🦔 💕

https://t.co/qTzxBdTy1B",BBC
0.2023,0.213,0.648,0.139,Sat Jul 21 14:03:06 +0000 2018,83,A huge iceberg is looming over a village in Greenland. https://t.co/sDLtIq41Fj,BBC
0.8126,0.37,0.63,0.0,Sat Jul 21 15:04:02 +0000 2018,82,👰🎊🤵 @reallorraine and @robbeckettcomic host as two couples play for dream prizes and a chance to get married in fro… https://t.co/JOaddKsXdr,BBC
0.0,0.0,1.0,0.0,Sat Jul 21 16:04:04 +0000 2018,81,Was the 😊the first emoticon? https://t.co/3eZwRPDqbJ,BBC
0.0,0.0,1.0,0.0,Sat Jul 21 17:05:05 +0000 2018,80,"How being drawn naked helped these women reclaim their bodies. 
(via @BBCThree) https://t.co/h22GymBo6O",BBC
0.0,0.0,1.0,0.0,Sat Jul 21 18:02:06 +0000 2018,79,"😂 @RomeshRanga really REALLY can't stand Gogglebox. #LiveAtTheApollo

https://t.co/IMrhnETAg7",BBC
-0.4939,0.0,0.724,0.276,Sat Jul 21 19:31:05 +0000 2018,78,"The ruins of a Cumbrian village have been exposed by the UK drought. 🌡

https://t.co/zCaOtOFM74",BBC
0.6369,0.321,0.679,0.0,Sat Jul 21 20:21:08 +0000 2018,77,"🎬🍿 A business trip leads to a chance encounter...

Pretty Woman | 10:20pm | @BBCOne | https://t.co/vCrrzh7bN7 https://t.co/KS0CZCwcDx",BBC
0.0,0.0,1.0,0.0,Sun Jul 22 07:03:00 +0000 2018,76,"Do you have a reusable water bottle?
#PlasticsAction https://t.co/XTlzV0IEGB",BBC
